model_id,short_name,architecture,n_paired,phi,note
allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,400,-0.2868886444201171,
allenai/Olmo-3-32B-Think-SFT,OLMo-32B-Think-SFT,think,400,-0.39201663309874213,
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,dense,400,-0.026688410861743176,
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think,400,-0.23493233626415017,
anthropic/claude-sonnet-4,Claude-Sonnet-4,constitutional,400,-0.1564745590892729,
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,moe,400,-0.27004649043146645,
meta-llama/llama-3-8b-instruct,Llama-3-8B,dense,400,0.009815048640923243,
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,dense,400,-0.07851118014934626,
meta-llama/llama-4-maverick,Llama-4-Maverick (MoE),moe,400,-0.27849349034429,
openai/gpt-4o-mini,GPT-4o-Mini,dense,400,-0.2307816998075784,
openai/gpt-oss-20b,GPT-OSS-20B,moe,400,-0.22715433015649478,
x-ai/grok-4.1-fast,Grok-4.1-Fast,think,400,-0.18973238073501023,
